doc_id,filename,status,confidence,missing_fields_count,models_found_count,standard_ids_count,output_json_path,error_message
1-so50016-boyne-mountain-resort_sld_0_12c_add-on_s_0f1b33,"1-SO50016-BOYNE-MOUNTAIN-RESORT_SLD.0.12C.ADD-ON.SO87932.IFC.pdf",success,high,1,24,2,doc_metadata/json/1-so50016-boyne-mountain-resort_sld_0_12c_add-on_s_0f1b33.json,
3_phase_2000kva_transformer_manual_8ab9e4,"3 Phase 2000kVa Transformer Manual.pdf",failed,,0,0,0,,"Schema validation error: ['Pad-Mounted Transformers', 'Three-Phase Transformers', 'Liquid-filled Transformers', 'Insulating Fluids', 'Mineral Oil', 'Silicone Fluid', 'FR3 Fluid', 'Dielectric Fluid', 'NEC Guidelines', 'NFPA', 'UL Classification', 'Overcurrent Protection', 'Bay-O-Net Fuse', 'Current-Limiting Fuse', 'Expulsion Fuse', 'Transformer Ratings', 'KVA Rating', 'Voltage Ratings', 'Impedance', 'Cooling Classes', 'Temperature Rise', 'Flash Point', 'Fire Point', 'BIL (Basic Insulation Level)', 'Pressure Relief Device', 'Primary Switching', 'Surge Arresters', 'Dead-front design', 'Live-front design', 'Radial feed', 'Loop feed', 'Inrush currents', 'Fault current', 'Interrupting Rating', 'I2t characteristics', 'Transformer modification', 'Retrofitting', 'Retrofilling', 'Hot stick operation', 'Environmental conditions', 'Dielectric Breakdown', 'Viscosity', 'Biodegradability'] is too long"
